min_start,min_start_real,t_mean,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,mo2_recovered,percent_aas,fas_available,rmr,mo2_minus_rmr,ln_mo2_minus_rmr,mmr_50,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
50,50,25.07,8/17/2021 12:01,0.0171,6.797392924,0.116235419,6.111644488,9.217206874,2506,25,66.30690372,5.229334706,3.105562386,59.38733244,1.508138586,3.987872168,2.12377232,0.753193904,4.608603437,3.501130793,-0.012281,1.894653553,,2.522751069,-0.07443
0,0,25.09,8/17/2021 11:01,0.0226,10.90374124,0.246424552,10.35553751,10.35553751,2507,25,100,6.024405318,0,0,1,4.331132192,6.024405318,1.795818772,5.177768755,3.501130793,-0.012281,3.501130793,0.925557473,2.522751069,-0.07443
10,9,25.06234954,8/17/2021 11:10,0.0226,9.709934602,0.219444522,9.439379905,10.35553751,2507,25,91.15296908,6.024405318,0.916157605,15.20743636,1.097056969,4.331132192,5.108247713,1.630856432,5.177768755,3.501130793,-0.012281,3.134773742,0.679795427,2.522751069,-0.07443
20,19,25.06234954,8/17/2021 11:20,0.0226,7.946419469,0.17958908,7.725002827,10.35553751,2507,25,74.59779678,6.024405318,2.630534683,43.66463649,1.340522164,4.331132192,3.393870635,1.22197105,5.177768755,3.501130793,-0.012281,2.772493234,,2.522751069,-0.07443
30,30,25.09,8/17/2021 11:31,0.0226,7.344445929,0.165984478,7.139802497,10.35553751,2507,25,68.94671078,6.024405318,3.215735013,53.37846382,1.450395514,4.331132192,2.808670305,1.03271117,5.177768755,3.501130793,-0.012281,2.422151028,,2.522751069,-0.07443
40,40,24.97,8/17/2021 11:41,0.0226,6.742472389,0.152379876,6.554602167,10.35553751,2507,25,63.29562479,6.024405318,3.800935343,63.09229115,1.579888031,4.331132192,2.223469975,0.799069027,5.177768755,3.501130793,-0.012281,2.142227124,,2.522751069,-0.07443
50,50,24.91,8/17/2021 11:51,0.0226,6.888126018,0.155671648,6.696197346,10.35553751,2507,25,64.66296259,6.024405318,3.659340164,60.74193171,1.546480334,4.331132192,2.365065154,0.860805571,5.177768755,3.501130793,-0.012281,1.894653553,,2.522751069,-0.07443
0,0,24.66,8/17/2021 11:01,0.0188,13.88510298,0.261039936,12.42291052,12.42291052,2508,25,100,6.557978087,0,0,1,5.864932433,6.557978087,1.880682337,6.21145526,3.501130793,-0.012281,3.501130793,1.117384089,2.522751069,-0.07443
10,10,24.62,8/17/2021 11:11,0.0188,11.2230817,0.210993936,10.36222743,12.42291052,2508,25,83.41223591,6.557978087,2.06068309,31.42253699,1.198864878,5.864932433,4.497294997,1.503476104,6.21145526,3.501130793,-0.012281,3.096511019,0.337032064,2.522751069,-0.07443
20,20,24.74,8/17/2021 11:21,0.0188,9.931861277,0.186718992,9.170048661,12.42291052,2508,25,73.81562192,6.557978087,3.252861859,49.60159695,1.354726783,5.864932433,3.305116228,1.19547164,6.21145526,3.501130793,-0.012281,2.73865247,,2.522751069,-0.07443
30,30,24.65,8/17/2021 11:31,0.0188,9.553013617,0.179596656,8.820260099,12.42291052,2508,25,70.99994872,6.557978087,3.602650421,54.93538364,1.408451721,5.864932433,2.955327666,1.08360953,6.21145526,3.501130793,-0.012281,2.422151028,,2.522751069,-0.07443
40,40,24.59,8/17/2021 11:41,0.0188,8.076852766,0.151844832,7.457326561,12.42291052,2508,25,60.02881973,6.557978087,4.965583959,75.71821517,1.665866503,5.864932433,1.592394128,0.465238625,6.21145526,3.501130793,-0.012281,2.142227124,,2.522751069,-0.07443
50,50,24.32,8/17/2021 11:51,0.0188,7.996151489,0.150327648,7.382815388,12.42291052,2508,25,59.42903135,6.557978087,5.040095132,76.85440642,1.682679285,5.864932433,1.517882955,0.417316571,6.21145526,3.501130793,-0.012281,1.894653553,,2.522751069,-0.07443
0,0,24.71,8/17/2021 10:50,0.0221,13.9547562,0.308400112,12.37712762,12.37712762,2509,25,100,7.238656848,0,0,1,5.138470772,7.238656848,1.979435671,6.18856381,3.501130793,-0.012281,3.501130793,1.31842391,2.522751069,-0.07443
10,10,24.75032722,8/17/2021 11:00,0.0221,9.056565656,0.200150101,8.749236863,12.37712762,2509,25,70.68875051,7.238656848,3.627890757,50.11828621,1.414652251,5.138470772,3.610766091,1.283919963,6.18856381,3.501130793,-0.012281,3.096511019,-0.665035888,2.522751069,-0.07443
20,21,24.62,8/17/2021 11:11,0.0221,8.000674208,0.1768149,7.72917642,12.37712762,2509,25,62.44725479,7.238656848,4.6479512,64.21013314,1.601351418,5.138470772,2.590705648,0.95193029,6.18856381,3.501130793,-0.012281,2.705224762,,2.522751069,-0.07443
30,31,24.74,8/17/2021 11:21,0.0221,7.323086244,0.161840206,7.074581972,12.37712762,2509,25,57.15851197,7.238656848,5.302545648,73.25317057,1.749520702,5.138470772,1.9361112,0.660681425,6.18856381,3.501130793,-0.012281,2.392586504,,2.522751069,-0.07443
40,41,24.65,8/17/2021 11:31,0.0221,6.771928688,0.149659624,6.542127597,12.37712762,2509,25,52.85658998,7.238656848,5.835000023,80.60887739,1.891911681,5.138470772,1.403656825,0.339080849,6.18856381,3.501130793,-0.012281,2.116079322,,2.522751069,-0.07443
50,51,24.59,8/17/2021 11:41,0.0221,6.453877195,0.142630686,6.234868979,12.37712762,2509,25,50.37411886,7.238656848,6.142258641,84.85356842,1.985146386,5.138470772,1.096398207,0.09203045,6.18856381,3.501130793,-0.012281,1.871527608,,2.522751069,-0.07443
0,0,24.77,8/17/2021 10:54,0.0181,9.599636188,0.173753415,8.782247602,8.782247602,2510,25,100,4.506210646,0,0,1,4.276036956,4.506210646,1.505456589,4.391123801,3.501130793,-0.012281,3.501130793,0.005066994,2.522751069,-0.07443
10,6,24.75032722,8/17/2021 11:00,0.0181,8.705643094,0.15757214,7.952939101,8.782247602,2510,25,90.55699021,4.506210646,0.829308501,18.40367808,1.104276984,4.276036956,3.676902145,1.302070589,4.391123801,3.501130793,-0.012281,3.252422164,-0.856890433,2.522751069,-0.07443
