min_start,min_start_real,temp,DateTime_start,bw,mo2,mo2_unscaled,ID,mo2_scaled,mmr,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,Bebt,ln_mo2_minus_Bebt,A,alpha
14.5,60.5,26,7/27/2022 11:26,0.0199,9.327558995,0.185618424,H01,8.75031452,15.04258713,0.581702765,9.101875847,2.532118869,6.292272608,69.13160225,1.719091022,5.940711281,1.033043277,3.175950635,-0.011845,1.551131245,0.229898282,4.569482683,-0.12934
1.5,0,26,7/27/2022 10:29,0.0138,14.33765826,0.197859684,H02,12.28520435,12.28520435,1,8.548351781,3.287580689,0,0,1,3.736852571,2.14573849,3.175950635,-0.011845,3.175950635,1.681274949,4.569482683,-0.12934
8,8,26,7/27/2022 10:36,0.0138,10.33361043,0.142603824,H02,8.749737558,12.28520435,0.712217502,8.548351781,3.287580689,3.535466794,41.35846166,1.404065467,3.736852571,1.612011595,3.175950635,-0.011845,2.888816782,0.753333215,4.569482683,-0.12934
16,16,26,7/27/2022 10:44,0.0138,8.074452754,0.111427448,H02,6.836849808,12.28520435,0.556510874,8.548351781,3.287580689,5.448354544,63.73573156,1.796910082,3.736852571,1.13140122,3.175950635,-0.011845,2.627642352,-0.750024701,4.569482683,-0.12934
4.5,24.5,26,7/27/2022 10:52,0.0138,6.587450435,0.090906816,H02,5.577766149,12.28520435,0.454023066,8.548351781,3.287580689,6.707438203,78.46469559,2.202531268,3.736852571,0.610261958,3.175950635,-0.011845,2.375966971,,4.569482683,-0.12934
12.5,32.5,26,7/27/2022 11:00,0.0138,6.91621971,0.095443832,H02,5.856143672,12.28520435,0.476682642,8.548351781,3.287580689,6.42906068,75.20819036,2.097831788,3.736852571,0.751081646,3.175950635,-0.011845,2.161158672,,4.569482683,-0.12934
20.5,40.5,26,7/27/2022 11:08,0.0138,6.412508986,0.088492624,H02,5.42963866,12.28520435,0.441965677,8.548351781,3.287580689,6.855565693,80.19751489,2.262619139,3.736852571,0.526375745,3.175950635,-0.011845,1.965770932,,4.569482683,-0.12934
4.5,50.5,26,7/27/2022 11:16,0.0138,6.367265507,0.087868264,H02,5.391329826,12.28520435,0.438847387,8.548351781,3.287580689,6.893874526,80.64565781,2.27869649,3.736852571,0.503485101,3.175950635,-0.011845,1.746186907,,4.569482683,-0.12934
14.5,60.5,26,7/27/2022 11:26,0.0138,6.279794783,0.086661168,H02,5.317266082,12.28520435,0.432818692,8.548351781,3.287580689,6.967938271,81.51206746,2.310436258,3.736852571,0.457686529,3.175950635,-0.011845,1.551131245,-3.530773191,4.569482683,-0.12934
8.45,0,26,7/27/2022 10:36,0.0115,17.53229348,0.201621375,H03,14.32701673,14.32701673,1,9.840455043,3.193317672,0,0,1,4.486561689,2.286501954,3.175950635,-0.011845,3.175950635,1.896795593,4.569482683,-0.12934
16,8,26,7/27/2022 10:44,0.0115,12.12176087,0.13940025,H03,9.752992835,14.32701673,0.680741359,9.840455043,3.193317672,4.574023897,46.48183317,1.468986697,4.486561689,1.661352931,3.175950635,-0.011845,2.888816782,0.866097617,4.569482683,-0.12934
4.5,16,26,7/27/2022 10:52,0.0115,9.084997826,0.104477475,H03,7.309657372,14.32701673,0.510200938,9.840455043,3.193317672,7.017359359,71.3113299,1.960012077,4.486561689,1.037834043,3.175950635,-0.011845,2.627642352,-1.632433644,4.569482683,-0.12934
12.5,24,26,7/27/2022 11:00,0.0115,8.691176087,0.099948525,H03,6.992794117,14.32701673,0.488084453,9.840455043,3.193317672,7.334222614,74.53133602,2.048825761,4.486561689,0.918780601,3.175950635,-0.011845,2.390080387,-2.152855246,4.569482683,-0.12934
20.5,32,26,7/27/2022 11:08,0.0115,8.266643478,0.0950664,H03,6.651221343,14.32701673,0.464243287,9.840455043,3.193317672,7.675795388,78.00244353,2.154042993,4.486561689,0.772263145,3.175950635,-0.011845,2.173996112,,4.569482683,-0.12934
4.5,40,26,7/27/2022 11:16,0.0115,10.43446957,0.1199964,H03,8.395422744,14.32701673,0.585985408,9.840455043,3.193317672,5.931593987,60.27763921,1.706527136,4.486561689,1.363246041,3.175950635,-0.011845,1.977447754,0.658252015,4.569482683,-0.12934
14.5,50,26,7/27/2022 11:26,0.0115,9.305393478,0.107012025,H03,7.486984514,14.32701673,0.522578053,9.840455043,3.193317672,6.840032217,69.50930813,1.913589737,4.486561689,1.09875322,3.175950635,-0.011845,1.756559384,0.218222215,4.569482683,-0.12934
8.67,0,26,7/27/2022 10:37,0.0133,13.34300842,0.177462012,H04,11.32376335,11.32376335,1,6.855136773,2.534058992,0,0,1,4.468626573,1.924998266,3.175950635,-0.011845,3.175950635,1.302691571,4.569482683,-0.12934
16,8,26,7/27/2022 10:44,0.0133,11.99548421,0.15953994,H04,10.0524759,11.32376335,0.887732778,6.855136773,2.534058992,1.271287449,18.54503405,1.126465108,4.468626573,1.719878382,3.175950635,-0.011845,2.888816782,0.991410281,4.569482683,-0.12934
4.5,16,26,7/27/2022 10:52,0.0133,9.486192632,0.126166362,H04,7.949635138,11.32376335,0.702031197,6.855136773,2.534058992,3.374128207,49.22043599,1.424438122,4.468626573,1.247322069,3.175950635,-0.011845,2.627642352,-0.1585665,4.569482683,-0.12934
12.5,24,26,7/27/2022 11:00,0.0133,8.426748947,0.112075761,H04,7.061798357,11.32376335,0.623626452,6.855136773,2.534058992,4.261964989,62.17184471,1.603524029,4.468626573,0.952881753,3.175950635,-0.011845,2.390080387,-1.594099168,4.569482683,-0.12934
20.5,32,26,7/27/2022 11:08,0.0133,7.793916316,0.103659087,H04,6.531470888,11.32376335,0.576793305,6.855136773,2.534058992,4.792292458,69.90805022,1.733723314,4.468626573,0.724085766,3.175950635,-0.011845,2.173996112,,4.569482683,-0.12934
4.5,40,26,7/27/2022 11:16,0.0133,8.020602632,0.106674015,H04,6.721438936,11.32376335,0.593569358,6.855136773,2.534058992,4.602324409,67.13687213,1.684723087,4.468626573,0.812179375,3.175950635,-0.011845,1.977447754,-1.289659208,4.569482683,-0.12934
14.5,50,26,7/27/2022 11:26,0.0133,7.894665789,0.104999055,H04,6.615901132,11.32376335,0.584249329,6.855136773,2.534058992,4.707862214,68.67641551,1.711598031,4.468626573,0.764199391,3.175950635,-0.011845,1.756559384,-0.939776436,4.569482683,-0.12934
0.03,0,26,7/27/2022 10:44,0.0119,15.63725403,0.186083323,H05,12.89253441,12.89253441,1,8.296969978,2.791574572,0,0,1,4.618373637,2.113137499,3.175950635,-0.011845,3.175950635,1.628889525,4.569482683,-0.12934
8,8,26,7/27/2022 10:52,0.0119,10.17042941,0.12102811,H05,8.261696498,12.89253441,0.640812445,8.296969978,2.791574572,4.630837912,55.81360334,1.560519006,4.618373637,1.292896139,3.175950635,-0.011845,2.888816782,-0.281691943,4.569482683,-0.12934
16,16,26,7/27/2022 11:00,0.0119,8.390166639,0.099842983,H05,6.815544116,12.89253441,0.528642693,8.296969978,2.791574572,6.076990294,73.24348901,1.891636851,4.618373637,0.787170387,3.175950635,-0.011845,2.627642352,,4.569482683,-0.12934
4.5,24.5,26,7/27/2022 11:08,0.0119,8.092580924,0.096301713,H05,6.57380773,12.89253441,0.509892587,8.296969978,2.791574572,6.318726681,76.15703922,1.961197367,4.618373637,0.670612211,3.175950635,-0.011845,2.375966971,,4.569482683,-0.12934
12.5,32.5,26,7/27/2022 11:16,0.0119,7.800246723,0.092822936,H05,6.33633728,12.89253441,0.491473366,8.296969978,2.791574572,6.556197131,79.01917384,2.034698256,4.618373637,0.541139661,3.175950635,-0.011845,2.161158672,,4.569482683,-0.12934
6.5,42.5,26,7/27/2022 11:26,0.0119,7.409884286,0.088177623,H05,6.01923602,12.89253441,0.466877639,8.296969978,2.791574572,6.87329839,82.84106618,2.141888832,4.618373637,0.337088035,3.175950635,-0.011845,1.919749099,,4.569482683,-0.12934
