population,min_start,min_start_real,DateTime,bw,mo2,mo2_unscaled,mo2_scaled,mmr,ID,temp,percent_mmr,aas,fas,mo2_recovered,percent_aas,fas_available,rmr,ln_mo2_minus_rmr,B,beta,A,alpha
John Day,16,16,7/16/2021 10:26,0.0446,6.757309776,0.301376016,7.946289565,19.43875546,2204,22,40.87859215,15.13622704,4.517984201,11.4924659,75.92688633,2.446268199,4.302528428,1.293016428,3.120074875,-0.008048,7.57186951,-0.15927
John Day,24,24,7/16/2021 10:34,0.0446,6.355903498,0.283473296,7.474254003,19.43875546,2204,22,38.45027022,15.13622704,4.517984201,11.96450146,79.04546773,2.600761956,4.302528428,1.154275785,3.120074875,-0.008048,7.57186951,-0.15927
John Day,32,32,7/16/2021 10:44,0.0446,6.07583139,0.27098208,7.144901917,19.43875546,2204,22,36.75596378,15.13622704,4.517984201,12.29385355,81.22138704,2.720646929,4.302528428,1.044639439,3.120074875,-0.008048,7.57186951,-0.15927
John Day,42,42,7/16/2021 10:54,0.0446,5.912075874,0.263678584,6.952332863,19.43875546,2204,22,35.7653188,15.13622704,4.517984201,12.4864226,82.4936265,2.796004714,4.302528428,0.974485839,3.120074875,-0.008048,7.57186951,-0.15927
John Day,52,52,7/16/2021 11:04,0.0446,6.286113543,0.280360664,7.392184183,19.43875546,2204,22,38.02807334,15.13622704,4.517984201,12.04657128,79.58767564,2.629636245,4.302528428,1.128059679,3.120074875,-0.008048,7.57186951,-0.15927
John Day,0,0,7/16/2021 10:19,0.045,9.045185333,0.40703334,10.53873104,10.53873104,2205,22,100,7.326003824,3.280306828,0,0,1,3.212727221,1.991430186,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:26,0.045,6.140423333,0.27631905,7.238933962,10.53873104,2205,22,68.68885762,7.326003824,3.280306828,3.299797083,45.04225171,1.455840196,3.212727221,1.392824677,3.120074875,-0.008048,7.57186951,-0.15927
John Day,16,16,7/16/2021 10:34,0.045,4.711354667,0.21201096,5.554207496,10.53873104,2205,22,52.70281092,7.326003824,3.280306828,4.984523549,68.03877896,1.897432,3.212727221,0.850783326,3.120074875,-0.008048,7.57186951,-0.15927
John Day,24,24,7/16/2021 10:44,0.045,4.74621,0.21357945,5.595298385,10.53873104,2205,22,53.0927145,7.326003824,3.280306828,4.94343266,67.47788806,1.883497593,3.212727221,0.868180226,3.120074875,-0.008048,7.57186951,-0.15927
John Day,34,34,7/16/2021 10:54,0.045,4.638022667,0.20871102,5.467756534,10.53873104,2205,22,51.8824943,7.326003824,3.280306828,5.070974511,69.21883516,1.927432389,3.212727221,0.813162972,3.120074875,-0.008048,7.57186951,-0.15927
John Day,44,44,7/16/2021 11:04,0.045,4.635306667,0.2085888,5.464554646,10.53873104,2205,22,51.85211221,7.326003824,3.280306828,5.074176398,69.26254095,1.928561744,3.212727221,0.811742075,3.120074875,-0.008048,7.57186951,-0.15927
John Day,54,54,7/16/2021 11:14,0.045,4.534814667,0.20406666,5.346084809,10.53873104,2205,22,50.72797462,7.326003824,3.280306828,5.192646235,70.87965499,1.971298888,3.212727221,0.757697071,3.120074875,-0.008048,7.57186951,-0.15927
John Day,0,0,7/16/2021 10:19,0.0314,15.73712713,0.494145792,16.69793474,16.69793474,2206,22,100,12.20610224,3.717399234,0,0,1,4.491832512,2.501936009,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:26,0.0314,11.94205439,0.374980508,12.72905444,16.69793474,2206,22,76.23131025,12.20610224,3.717399234,3.968880304,32.51554203,1.311796946,4.491832512,2.108663142,3.120074875,-0.008048,7.57186951,-0.15927
John Day,16,16,7/16/2021 10:34,0.0314,9.07460828,0.2849427,9.672639149,16.69793474,2206,22,57.92715864,12.20610224,3.717399234,7.025295594,57.55560175,1.726305973,4.491832512,1.644960766,3.120074875,-0.008048,7.57186951,-0.15927
John Day,24,24,7/16/2021 10:44,0.0314,8.091688344,0.254079014,8.624943253,16.69793474,2206,22,51.65275458,12.20610224,3.717399234,8.07299149,66.13897976,1.936005171,4.491832512,1.41903033,3.120074875,-0.008048,7.57186951,-0.15927
John Day,34,34,7/16/2021 10:54,0.0314,7.753423376,0.243457494,8.264386095,16.69793474,2206,22,49.49346265,12.20610224,3.717399234,8.433548648,69.09288881,2.020468859,4.491832512,1.327752115,3.120074875,-0.008048,7.57186951,-0.15927
John Day,44,44,7/16/2021 11:04,0.0314,8.066968981,0.253302826,8.598594845,16.69793474,2206,22,51.49496017,12.20610224,3.717399234,8.099339898,66.35484234,1.941937612,4.491832512,1.412634965,3.120074875,-0.008048,7.57186951,-0.15927
John Day,54,54,7/16/2021 11:14,0.0314,7.901739554,0.248114622,8.422476541,16.69793474,2206,22,50.44022911,12.20610224,3.717399234,8.275458202,67.7977133,1.982544523,4.491832512,1.368803288,3.120074875,-0.008048,7.57186951,-0.15927
John Day,0,0,7/16/2021 10:26,0.0296,15.39692689,0.455749036,16.08812716,16.08812716,2207,22,100,12.63436809,4.658149813,0,0,1,3.453759069,2.536420727,3.120074875,-0.008048,7.57186951,-0.15927
John Day,8,8,7/16/2021 10:34,0.0296,8.681596757,0.256975264,9.10202631,16.08812716,2207,22,56.57604655,12.63436809,4.658149813,6.986100849,55.29442232,1.767532483,3.453759069,1.731348815,3.120074875,-0.008048,7.57186951,-0.15927
John Day,16,16,7/16/2021 10:44,0.0296,6.927880541,0.205065264,7.263381694,16.08812716,2207,22,45.14746572,12.63436809,4.658149813,8.824745465,69.84714552,2.214963751,3.453759069,1.337530136,3.120074875,-0.008048,7.57186951,-0.15927
John Day,26,26,7/16/2021 10:54,0.0296,5.980172297,0.1770131,6.269778142,16.08812716,2207,22,38.97146063,12.63436809,4.658149813,9.818349017,77.71143714,2.565980294,3.453759069,1.035324211,3.120074875,-0.008048,7.57186951,-0.15927
